停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,F1_1,2024/05/30 08:15:54.8753,2024/05/30 08:17:33.5663,1:38.6910,JSS_WE,F1,WhiteBody:3153
故障,liquidWrapping_1,2024/05/30 08:18:09.5705,2024/05/30 08:19:01.6220,52.0516,JSS_PA,liquidWrapping,WhiteBody:2597
故障,F3_1,2024/05/30 08:19:47.5070,2024/05/30 08:20:09.0892,21.5823,JSS_WE,F3,WhiteBody:3129
故障,TGSub_1,2024/05/30 08:20:49.1485,2024/05/30 08:21:25.4152,36.2667,JSS_WE,TGSub,SubPart:8477
故障,INNFRM_GW_1,2024/05/30 08:21:17.8299,2024/05/30 08:22:42.9564,1:25.1265,JSS_WE,INNFRM_GW,WhiteBody:3199
機種CH,TGSub_1,2024/05/30 08:21:27.7757,2024/05/30 08:23:27.7757,2:00.0000,JSS_WE,TGSub,SubPart:8480
故障,liquidWrapping_1,2024/05/30 08:24:57.0668,2024/05/30 08:26:10.0858,1:13.0190,JSS_PA,liquidWrapping,WhiteBody:2603
故障,F2_1,2024/05/30 08:26:15.4828,2024/05/30 08:26:35.7028,20.2200,JSS_WE,F2,WhiteBody:3148
故障,substrateInspectione_1,2024/05/30 08:26:40.6016,2024/05/30 08:26:49.0727,8.4711,JSS_PA,substrateInspectione,WhiteBody:2887
故障,BRAZE_1,2024/05/30 08:28:24.8690,2024/05/30 08:28:46.3022,21.4332,JSS_WE,BRAZE,WhiteBody:3193
故障,FRFLR_1,2024/05/30 08:29:18.4375,2024/05/30 08:29:28.4047,9.9672,JSS_WE,FRFLR,WhiteBody:3237
故障,sealerOV_1,2024/05/30 08:29:21.0767,2024/05/30 08:30:43.5633,1:22.4866,JSS_PA,sealerOV,WhiteBody:2915
故障,FRFLR_1,2024/05/30 08:30:58.6275,2024/05/30 08:31:14.2183,15.5908,JSS_WE,FRFLR,WhiteBody:3239
故障,liquidWrapping_1,2024/05/30 08:31:10.7309,2024/05/30 08:31:42.5954,31.8645,JSS_PA,liquidWrapping,WhiteBody:2608
機種CH,F1_1,2024/05/30 08:30:13.9283,2024/05/30 08:32:13.9283,2:00.0000,JSS_WE,F1,WhiteBody:3166
故障,substrateInspectione_1,2024/05/30 08:32:04.3630,2024/05/30 08:32:19.8021,15.4390,JSS_PA,substrateInspectione,WhiteBody:2892
故障,BRAZE_1,2024/05/30 08:32:32.8528,2024/05/30 08:32:40.0392,7.1864,JSS_WE,BRAZE,WhiteBody:3197
